סמל היישוב,שם יישוב,מחוז,נפה,צורת יישוב,מעמד מוניציפלי,אזור טבעי,אוכלוסייה - סך הכל,מזה: יהודים ואחרים,מזה: יהודים,מזה: ערבים,אשכול רשויות מקומיות
864,בקוע,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,724,721,704,3,
3612,בקעות,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,184,185,182,-,
823,בר גיורא,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,670,670,663,-,
1191,בר יוחאי,הצפון,צפת,יישובים קהילתיים,מרום הגליל,גליל עליון מזרחי,"1,015","1,015","1,015",-,
3744,ברוכין,יהודה והשומרון,,יישובים קהילתיים,שומרון,,919,919,918,-,
428,ברור חיל,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,955,950,930,5,
2060,ברוש,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,בני שמעון,אזור גרר,483,483,482,-,
3710,ברכה,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,שומרון,,"2,468","2,461","2,070",7,
746,ברכיה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,"1,212","1,212","1,212",-,
1728,בר-לב,הצפון,עכו,מוקד תעסוקה,מטה אשר,אזור עכו,-,-,-,-,
667,ברעם,הצפון,צפת,קיבוצים,הגליל העליון,גליל עליון מזרחי,585,586,526,-,
141,ברק,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,423,422,419,-,
617,ברקאי,חיפה,חדרה,קיבוצים,מנשה,אזור חדרה,559,556,525,4,
3654,ברקן,יהודה והשומרון,,יישובים קהילתיים,שומרון,,"1,825","1,821","1,708",4,
2038,ברקת,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור פתח תקווה,"1,968","1,968","1,963",-,
1323,בת הדר,הדרום,אשקלון,יישובים כפריים אחרים יהודיים,חוף אשקלון,אזור אשקלון,767,766,749,-,
1361,בת חן,המרכז,השרון,יישובים כפריים אחרים יהודיים,עמק חפר,מערב השרון,407,407,394,-,
1319,בת חפר,המרכז,השרון,יישובים יהודיים 9999-5000 תושבים,עמק חפר,מזרח השרון,"5,445","5,441","5,358",3,
6200,בת ים,תל אביב,,יישובים יהודיים 199999-100000 תושבים,עירייה,אזור חולון,"128,655","127,916","103,326",739,
3794,בת עין,יהודה והשומרון,,יישובים קהילתיים,גוש עציון,,"1,428","1,426","1,422",2,
33,בת שלמה,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,אזור זכרון יעקב,647,648,636,-,
1736,בתי זיקוק - קישון,חיפה,חיפה,מוקד תעסוקה,,אזור חיפה,-,-,-,-,
872,גאולי תימן,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,365,273,273,93,
379,גאולים,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,לב השרון,מערב השרון,943,942,925,-,
853,גאליה,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גן רווה,אזור ראשון לציון,990,990,977,-,
352,גבולות,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,345,345,292,-,
424,גבים,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,597,596,584,1,
86,גבע,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק חרוד,624,624,604,-,
3763,גבע בנימין,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מטה בנימין,,"5,409","5,390","5,268",18,
683,גבע כרמל,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,חוף הכרמל,"1,200","1,201","1,183",-,
2014,גבעולים,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,340,340,340,-,
3644,גבעון החדשה,יהודה והשומרון,,יישובים קהילתיים,מטה בנימין,,"1,139","1,064","1,037",75,
1344,גבעות בר,הדרום,באר שבע,יישובים קהילתיים,בני שמעון,אזור באר שבע,"1,024","1,023","1,005",2,
1293,גבעת אבני,הצפון,כנרת,יישובים קהילתיים,הגליל התחתון,גליל תחתון מזרחי,"1,991","1,991","1,970",-,
1288,גבעת אלה,הצפון,יזרעאל,יישובים קהילתיים,עמק יזרעאל,הרי נצרת-תירען,"1,947","1,947","1,932",-,
147,גבעת ברנר,המרכז,רחובות,קיבוצים 4999-2000 תושבים,ברנר,אזור רחובות,"2,669","2,669","2,617",-,
870,גבעת השלושה,המרכז,פתח תקווה,קיבוצים,דרום השרון,אזור פתח תקווה,816,816,802,-,
3730,גבעת זאב,יהודה והשומרון,,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,,"17,323","17,296","17,138",28,
207,"גבעת ח""ן",המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,355,355,352,-,
1740,גבעת חביבה,חיפה,חדרה,מוקד תעסוקה,מנשה,אזור חדרה,-,-,-,-,
2018,גבעת חיים (איחוד),המרכז,השרון,קיבוצים,עמק חפר,מערב השרון,"1,088","1,089","1,067",-,
173,גבעת חיים (מאוחד),המרכז,השרון,קיבוצים,עמק חפר,מערב השרון,990,990,967,-,
4021,גבעת יואב,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן דרומי,690,688,664,2,
787,גבעת יערים,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,"1,467","1,466","1,440",1,
919,גבעת ישעיהו,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,846,847,836,-,
802,"גבעת כ""ח",המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור פתח תקווה,911,911,890,-,
360,"גבעת ניל""י",חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,אלונה,הר אלכסנדר,760,760,758,-,
703,גבעת עוז,הצפון,יזרעאל,קיבוצים,מגידו,עמק יזרעאל,487,486,460,1,
681,גבעת שמואל,המרכז,פתח תקווה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור פתח תקווה,"25,776","25,748","25,438",29,
566,גבעת שמש,ירושלים,ירושלים,יישובים מוסדיים יהודיים,מטה יהודה,שפלת יהודה,86,77,73,9,
1077,גבעת שפירא,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,414,414,412,-,
793,גבעתי,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,002","1,001",984,-,
6300,גבעתיים,תל אביב,,יישובים יהודיים 99999-50000 תושבים,עירייה,אזור רמת גן,"59,518","59,493","57,639",25,
342,גברעם,הדרום,אשקלון,קיבוצים,חוף אשקלון,אזור אשקלון,457,457,435,-,
133,גבת,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,עמק יזרעאל,908,908,896,-,
35,גדות,הצפון,צפת,קיבוצים,הגליל העליון,אזור חצור,421,420,372,-,
1292,ג'דיידה-מכר,הצפון,עכו,יישובים לא יהודיים 49999-20000 תושבים,מועצה מקומית,אזור עכו,"20,613",37,16,"20,576",
145,גדיש,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,384,384,379,-,
442,גדעונה,הצפון,יזרעאל,יישובים כפריים אחרים יהודיים,הגלבוע,עמק חרוד,446,446,435,-,
2550,גדרה,המרכז,רחובות,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,אזור רחובות,"27,498","27,381","26,847",116,
485,ג'ולס,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור יחיעם,"6,273",-,-,"6,273",
852,גונן,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,354,354,342,-,
755,גורן,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור אילון,426,420,418,6,
1219,גורנות הגליל,הצפון,עכו,יישובים כפריים אחרים יהודיים,מעלה יוסף,אזור אילון,181,179,172,2,
457,גזית,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,רמת כוכב,702,702,668,-,
370,גזר,המרכז,רמלה,קיבוצים,גזר,אזור רמלה,274,273,263,2,
706,גיאה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,973,972,951,-,
196,גיבתון,המרכז,רחובות,יישובים כפריים אחרים יהודיים,ברנר,אזור רחובות,347,346,342,-,
1043,גיזו,ירושלים,ירושלים,יישובים כפריים אחרים יהודיים,מטה יהודה,שפלת יהודה,210,210,208,-,
1204,גילון,הצפון,עכו,יישובים קהילתיים,משגב,אזור כרמיאל,"1,040","1,040","1,020",-,
736,גילת,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,מרחבים,אזור בשור,"1,411","1,411","1,405",-,
262,גינוסר,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,592,589,564,2,
92,גיניגר,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,עמק יזרעאל,680,677,655,3,
863,גינתון,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,903,903,880,1,
1206,גיתה,הצפון,עכו,יישובים קהילתיים,מעלה יוסף,אזור יחיעם,289,288,250,-,
3613,גיתית,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,457,457,455,-,
393,גלאון,הדרום,אשקלון,קיבוצים,יואב,אזור מלאכי,434,434,412,-,
627,ג'לג'וליה,המרכז,פתח תקווה,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,דרום השרון,"9,836",136,118,"9,701",
3606,גלגל,יהודה והשומרון,,קיבוצים,ערבות הירדן,,180,165,154,15,
346,גליל ים,תל אביב,תל אביב,קיבוצים,חוף השרון,אזור תל אביב,500,499,495,-,
369,גלעד (אבן יצחק),הצפון,יזרעאל,קיבוצים,מגידו,רמת מנשה,485,485,468,1,
745,גמזו,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור מודיעין,"1,201","1,201","1,201",-,
1072,גן הדרום,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גדרות,אזור רחובות,599,599,594,-,
225,גן השומרון,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,מנשה,אזור חדרה,822,821,814,1,
239,גן חיים,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,823,820,809,4,
734,גן יאשיה,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מזרח השרון,982,982,966,-,
166,גן יבנה,המרכז,רחובות,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,אזור רחובות,"23,531","23,463","22,725",69,
1274,גן נר,הצפון,יזרעאל,יישובים יהודיים 4999-2000 תושבים,הגלבוע,עמק חרוד,"2,700","2,695","2,640",5,
311,גן שורק,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גן רווה,אזור ראשון לציון,701,701,701,-,
144,גן שלמה,המרכז,רחובות,קיבוצים,ברנר,אזור רחובות,550,551,508,-,
72,גן שמואל,חיפה,חדרה,קיבוצים,מנשה,אזור חדרה,905,904,886,1,
836,גנות,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,עמק לוד,אזור רמלה,616,616,609,-,
549,גנות הדר,המרכז,השרון,יישובים כפריים אחרים יהודיים,לב השרון,מערב השרון,956,956,948,-,
1103,גני הדר,המרכז,רמלה,יישובים כפריים אחרים יהודיים,גזר,אזור רמלה,302,302,300,-,
1371,גני טל,המרכז,רחובות,יישובים קהילתיים,נחל שורק,אזור רחובות,792,792,792,-,
862,גני יוחנן,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גזר,אזור רחובות,625,626,617,-,
3823,גני מודיעין,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"2,445","2,447","2,444",-2,
218,גני עם,המרכז,פתח תקווה,יישובים כפריים אחרים יהודיים,דרום השרון,דרום השרון,248,248,246,-,
229,גני תקווה,המרכז,פתח תקווה,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,אזור פתח תקווה,"18,240","18,229","17,987",11,
541,ג'סר א-זרקא,חיפה,חדרה,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור חדרה,"14,438",15,-,"14,424",
842,געש,המרכז,השרון,קיבוצים,חוף השרון,מערב השרון,728,728,715,-,
463,געתון,הצפון,עכו,קיבוצים,מטה אשר,אזור יחיעם,630,629,619,1,
39,גפן,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,420,420,415,-,
1129,גרופית,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,257,257,245,2,
487,ג'ש (גוש חלב),הצפון,צפת,יישובים לא יהודיים 4999-2000 תושבים,מועצה מקומית,גליל עליון מזרחי,"3,085",7,6,"3,078",
4022,גשור,הצפון,גולן,קיבוצים,גולן,גולן דרומי,279,279,268,-,
305,גשר,הצפון,כנרת,קיבוצים,עמק המעיינות,כנרות,420,419,402,1,
574,גשר הזיו,הצפון,עכו,קיבוצים,מטה אשר,אזור נהרייה,"1,632","1,625","1,587",8,
628,ג'ת,חיפה,חדרה,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור חדרה,"11,644",8,3,"11,636",
340,גת (קיבוץ),הדרום,אשקלון,קיבוצים,יואב,אזור מלאכי,779,780,755,-,
128,גת רימון,המרכז,פתח תקווה,יישובים כפריים אחרים יהודיים,דרום השרון,אזור פתח תקווה,292,293,289,-,
494,דאלית אל-כרמל,חיפה,חיפה,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור חיפה,"17,201",39,25,"17,162",
146,דבורה,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,215,215,214,-,
489,דבורייה,הצפון,יזרעאל,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הרי נצרת-תירען,"10,154",6,3,"10,148",
849,דבירה,הדרום,באר שבע,קיבוצים,בני שמעון,אזור באר שבע,935,935,913,-,
407,דברת,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,עמק יזרעאל,429,427,403,2,
62,דגניה א',הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,752,628,614,123,
79,דגניה ב',הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,655,655,646,-,
1067,"דוב""ב",הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,481,481,476,-,
3747,דולב,יהודה והשומרון,,יישובים קהילתיים,מטה בנימין,,"1,400","1,400","1,396",-,
738,דור,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,חוף הכרמל,420,420,414,-,
336,דורות,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,812,812,787,1,
475,דחי,הצפון,יזרעאל,יישובים כפריים אחרים לא יהודיים,בוסתן אל-מרג',עמק יזרעאל,665,-,-,665,
490,דייר אל-אסד,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור כרמיאל,"12,106",5,5,"12,101",
492,דייר חנא,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור שפרעם,"10,102",17,1,"10,085",
493,דייר ראפאת,ירושלים,ירושלים,יישובים מוסדיים לא יהודיים,מטה יהודה,שפלת יהודה,88,-,-,88,
2200,דימונה,הדרום,באר שבע,יישובים יהודיים 49999-20000 תושבים,עירייה,הר הנגב הצפוני,"33,666","33,450","30,326",216,
2063,דישון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,גליל עליון מזרחי,355,354,349,1,
300,דלייה,הצפון,יזרעאל,קיבוצים,מגידו,רמת מנשה,801,800,742,1,
431,דלתון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,850,850,850,-,
1317,דמיידה,הצפון,עכו,יישובים כפריים אחרים לא יהודיים,משגב,אזור שפרעם,490,-,-,490,
303,דן,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,736,734,714,1,
302,דפנה,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,953,953,940,-,
1241,דקל,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,333,334,327,-1,
1349,דריג'את,הדרום,באר שבע,יישובים כפריים אחרים לא יהודיים,אל קסום,אזור באר שבע,"1,153",1,-,"1,151",
702,האון,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,182,181,166,-,
675,הבונים,חיפה,חדרה,מושבים שיתופיים,חוף הכרמל,חוף הכרמל,359,359,359,-,
356,הגושרים,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,783,782,734,-,
191,הדר עם,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,669,669,664,-,
9700,הוד השרון,המרכז,פתח תקווה,יישובים יהודיים 99999-50000 תושבים,עירייה,דרום השרון,"61,102","61,069","59,833",33,
1322,הודיות,הצפון,כנרת,יישובים מוסדיים יהודיים,הגליל התחתון,גליל תחתון מזרחי,360,359,268,1,
726,הודייה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,491,490,476,1,
1186,הושעיה,הצפון,יזרעאל,יישובים קהילתיים,עמק יזרעאל,הרי נצרת-תירען,"1,993","1,993","1,992",-,
250,הזורע,הצפון,יזרעאל,קיבוצים,מגידו,אזור יקנעם,857,857,816,-,
307,הזורעים,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,"1,030","1,030","1,030",-,
434,החותרים,חיפה,חדרה,קיבוצים,חוף הכרמל,חוף הכרמל,790,791,772,-,
684,היוגב,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,עמק יזרעאל,683,683,680,-,
1208,הילה,הצפון,עכו,יישובים קהילתיים,מעלה יוסף,אזור יחיעם,566,566,552,-,
377,המעפיל,המרכז,השרון,קיבוצים,עמק חפר,מזרח השרון,829,829,819,-,
1751,המרכז למחקר-נחל שורק,המרכז,רחובות,מוקד תעסוקה,,אזור ראשון לציון,-,-,-,-,
677,הסוללים,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,הרי נצרת-תירען,936,933,917,3,
423,העוגן,המרכז,השרון,קיבוצים,עמק חפר,מערב השרון,898,898,877,-,
3769,הר אדר,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,,"4,058","4,056","3,968",1,
3603,הר גילה,יהודה והשומרון,,יישובים קהילתיים,גוש עציון,,"1,568","1,547","1,514",21,
1261,הר עמשא,הדרום,באר שבע,קיבוצים,תמר,אזור באר שבע,159,153,133,5,
464,הראל,ירושלים,ירושלים,קיבוצים,מטה יהודה,שפלת יהודה,271,271,261,-,
1249,הרדוף,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,הרי נצרת-תירען,"1,120","1,114","1,055",5,
6400,הרצלייה,תל אביב,תל אביב,יישובים יהודיים 99999-50000 תושבים,עירייה,אזור תל אביב,"93,989","93,858","89,680",131,
1203,הררית,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,466,467,454,-,
3639,ורד יריחו,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,מגילות ים המלח,,298,298,293,-,
1133,ורדון,הדרום,אשקלון,יישובים כפריים אחרים יהודיים,יואב,אזור מלאכי,294,294,291,-,
815,זבדיאל,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,שפיר,אזור מלאכי,514,514,514,-,
44,זוהר,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור לכיש,353,353,351,-,
584,זיקים,הדרום,אשקלון,קיבוצים,חוף אשקלון,אזור אשקלון,734,716,680,18,
788,זיתן,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,עמק לוד,אזור רמלה,"1,075","1,075","1,072",-,
9300,זכרון יעקב,חיפה,חדרה,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,אזור זכרון יעקב,"22,984","22,945","22,123",38,
799,זכריה,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,"1,079","1,078","1,062",-,
1290,זמר,המרכז,השרון,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,מזרח השרון,"6,779",5,-,"6,774",
1065,זמרת,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,564,563,562,1,
816,זנוח,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,486,474,466,13,
2064,זרועה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,415,414,413,1,
975,זרזיר,הצפון,יזרעאל,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,הרי נצרת-תירען,"7,792",22,14,"7,771",
818,זרחיה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,שפיר,אזור מלאכי,711,711,711,-,
235,חבצלת השרון,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,640,635,609,6,
1110,חבר,הצפון,יזרעאל,יישובים כפריים אחרים יהודיים,הגלבוע,עמק יזרעאל,518,519,491,-,
717,חגור,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,"1,175","1,175","1,159",-,
3764,חגי,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,596,596,596,-,
205,חגלה,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,871,871,867,-,
618,חדיד,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,888,888,887,-,
4026,חד-נס,הצפון,גולן,יישובים קהילתיים,גולן,גולן תיכוני,839,840,817,-,
6500,חדרה,חיפה,חדרה,יישובים יהודיים 99999-50000 תושבים,עירייה,אזור חדרה,"93,973","93,115","86,755",858,
1321,ח'ואלד,חיפה,חיפה,יישובים כפריים אחרים לא יהודיים,זבולון,אזור חיפה,503,-,-,503,
160,חולדה,המרכז,רמלה,קיבוצים,גזר,אזור רמלה,"1,067","1,067","1,055",-,
6600,חולון,תל אביב,,יישובים יהודיים 199999-100000 תושבים,עירייה,אזור חולון,"192,624","192,348","177,748",276,
1239,חולית,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,163,158,151,5,
253,חולתה,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,654,652,641,1,
662,חוסן,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור יחיעם,"1,092","1,092","1,055",-,
1332,חוסנייה,הצפון,עכו,יישובים כפריים אחרים לא יהודיים,משגב,אזור כרמיאל,686,1,-,685,
115,חופית,המרכז,השרון,יישובים כפריים אחרים יהודיים,עמק חפר,מערב השרון,750,749,737,-,
374,חוקוק,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,595,589,553,6,
1303,חורה,הדרום,באר שבע,יישובים לא יהודיים 49999-20000 תושבים,מועצה מקומית,אזור באר שבע,"20,782",17,14,"20,765",
496,חורפיש,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור אילון,"6,231",1,-,"6,231",
355,חורשים,המרכז,פתח תקווה,קיבוצים,דרום השרון,דרום השרון,310,304,296,5,
1047,חזון,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל תחתון מזרחי,327,327,327,-,
219,חיבת ציון,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,666,665,663,-,
3643,חיננית,יהודה והשומרון,יהודה ושומרון,יישובים קהילתיים,שומרון,,"1,295","1,295","1,138",-,
4000,חיפה,חיפה,חיפה,יישובים יהודיים 499999-200000 תושבים,עירייה,אזור חיפה,"281,087","249,288","217,576","31,801",
162,חירות,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,לב השרון,מערב השרון,"1,281","1,275","1,268",6,
1272,חלוץ,הצפון,עכו,יישובים קהילתיים,משגב,אזור יחיעם,497,497,493,-,
3573,חלמיש,יהודה והשומרון,,יישובים קהילתיים,מטה בנימין,,"1,314","1,314","1,313",-,
820,חלץ,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,חוף אשקלון,אזור אשקלון,453,450,449,3,
993,חמאם,הצפון,כנרת,יישובים כפריים אחרים לא יהודיים,אל-בטוף,כנרות,"1,455",4,4,"1,451",
801,חמד,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,עמק לוד,אזור רמלה,"1,229","1,229","1,225",-,
343,חמדיה,הצפון,יזרעאל,קיבוצים,עמק המעיינות,עמק בית שאן,379,378,377,1,
3646,חמדת,יהודה והשומרון,,יישובים קהילתיים,ערבות הירדן,,248,248,248,-,
3609,חמרה,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,126,127,124,-,
807,חניאל,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,953,953,936,-,
280,חניתה,הצפון,עכו,קיבוצים,מטה אשר,אזור אילון,756,755,719,1,
1257,חנתון,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,הרי נצרת-תירען,878,876,870,1,
4005,חספין,הצפון,גולן,יישובים קהילתיים,גולן,גולן דרומי,"1,904","1,903","1,900",-,
363,חפץ חיים,המרכז,רחובות,קיבוצים,נחל שורק,אזור רחובות,530,530,530,-,
90,חפצי-בה,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק חרוד,702,702,682,-,
700,חצב,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,468","1,468","1,446",-,
13,חצבה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,הערבה התיכונה,הערבה,584,575,547,10,
2034,חצור הגלילית,הצפון,צפת,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,אזור חצור,"9,060","9,031","8,814",29,
406,חצור-אשדוד,הדרום,אשקלון,קיבוצים,באר טוביה,אזור מלאכי,604,604,581,-,
397,חצרים,הדרום,באר שבע,קיבוצים,בני שמעון,אזור באר שבע,808,808,785,-,
422,חרב לאת,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,828,828,807,-,
1024,חרוצים,המרכז,השרון,יישובים כפריים אחרים יהודיים,חוף השרון,מערב השרון,898,897,889,-,
1247,חריש,חיפה,חדרה,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,הר אלכסנדר,"3,582","3,501","3,295",81,
3717,חרמש,יהודה והשומרון,יהודה ושומרון,יישובים קהילתיים,שומרון,,215,215,192,-,
1209,חרשים,הצפון,עכו,יישובים קהילתיים,משגב,אזור יחיעם,315,315,297,-,
3770,חשמונאים,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מטה בנימין,,"2,820","2,820","2,817",-,
6700,טבריה,הצפון,כנרת,יישובים יהודיים 49999-20000 תושבים,עירייה,כנרות,"43,664","42,994","40,314",669,
962,טובא-זנגרייה,הצפון,צפת,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור חצור,"6,530",7,3,"6,524",
498,טורעאן,הצפון,,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הרי נצרת-תירען,"13,703",6,4,"13,697",
2730,טייבה,המרכז,השרון,יישובים לא יהודיים 49999-20000 תושבים,עירייה,מזרח השרון,"42,401",62,34,"42,339",
